Period,Site name,Region,Tephra post-,Tephra pre-,References
1,Húshólmi ,SW,/,LTL,"Jóhannesson & Einarsson 1988, 83"
1,Reykjavík,SW,/,LTL,"Roberts et al. 2003, 224-225; Sigurgeirsson 2001b, 103-104"
2,Hrísbrú ,SW,LTL,K~920/Eldgjá,"Byock and Zori, 7"
2,í Geirlandsheiði ,E,LTL,Eldgjá,"Einarsson 2008b, 8-9"
2,Beinisstaðir ,N,LTL,V-Sv,"Vésteinsson 2011, 23-24; Sigurgeirsson 2008a, 47; 2011, 76"
2,Gautlandasel,N,LTL,V-Sv,"Vésteinsson 2011, 45-47; Sigurgeirsson 2011, 75-76"
2,Hrísheimar,N,LTL,V-Sv,"Sigurgeirsson 2008a, 47; 2011, 76"
2,Skútustaðir,N,LTL,V-Sv,"Edwald & McGovern 2009, 6-7"
2,Sveigakot,N,LTL,V-Sv,"Sigurgeirsson 2001c, 39-40"
2,Þorleifsstaðir,N,LTL,V-Sv,"Sigurgeirsson 2008a, 46-49"
2,Þyrilskot,N,LTL,V-Sv,"Vésteinsson 2011, 11; Sigurgeirsson 2011, 73"
2,Fagridalur,E,K~920,Eldgjá,"Guðmundsson et al. 2004, 94-98"
2,Mosholt,E,/,Eldgjá,"Hreiðarsdóttir et al. 2014, 39-40"
2,Sámsstaðir,SW,/,Eldgjá,"Rafnsson 1977, 90"
2,"""Sólheimar"" ",E,/,Eldgjá,"Einarsson 2008b, 7-8"
2,við Kóragil,E,/,Eldgjá,"Hreiðarsdóttir et al. 2014, 42"
3,Hraunþúfuklaustur,N,Eldgjá,H-1104,"Þórarinsson 1977, 33"
3,Hrunakrókur,SW,Eldgjá,H-1104,"Ólafsson 2010, 4-5, 12"
3,Skallakot,SW,Eldgjá,H-1104,"Þórarinsson 1943, 32-35; Hansen & Vésteinsson 2002, 11; Sigurgeirsson 2002a, 32-33"
3,Stöng,SW,Eldgjá,H-1104,"Þórarinsson 1943, 38-40; Vilhjálmsson 1989, 88-89"
3,Holtsmúli,N,V-Sv,Vj,"Steinberg et al. 2009a, 3"
3,Kjartansstaðir,N,V-Sv,Vj,"Steinberg et al. 2009b, 3; Sigurgeirsson 2010a, 3"
3,Litla Gröf ,N,V-Sv,Vj,"Steinberg et al. 2009c, 3; Sigurgeirsson 2010a, 4"
3,Meðalheimur,N,V-Sv,Vj,"Steinberg & Shepard 2007, 2; Steinberg et al. 2009f, 3"
3,"Stóra Gröf, Ytri",N,V-Sv,Vj,"Sigurgeirsson 2010a, 3"
3,Stóra Seyla,N,V-Sv,Vj,"Sigurgeirsson 2010a, 2"
3,Brenna,N,V-Sv,H-1104,"Vésteinsson 2004b, 50-53; Sigurgeirsson 2002b, 2"
3,Einirlækur,N,V-Sv,H-1104,"Sveinbjarnardóttir 1992, 158"
3,Hali ,N,V-Sv,H-1104,Einarsson & Sigurgeirsson 1996
3,Hamar 2,N,V-Sv,H-1104,"Hreiðarsdóttir 2010, 24; Sigurgeirsson 2010b, 36"
3,Helgastaðir,N,V-Sv,H-1104,"Vésteinsson et al. 2014, 53"
3,Hofstaðir í Mývatnsveit,N,V-Sv,H-1104,"Lucas 2009, 56-57"
3,Hólar,N,V-Sv,H-1104,"Traustadóttir et al. 2002, 23-24"
3,Húsatóftir,N,V-Sv,H-1104,"Sveinbjarnardóttir 1992, 160"
3,Naust ,N,V-Sv,H-1104,"Sigurgeirsson 2008b, 38-41"
3,Pálstóftir,E,V-Sv,H-1104,"Lucas 2007, 14"
3,Raufarhóll,N,V-Sv,H-1104,"Vésteinsson 2012, 11-12; Sigurgeirsson 2012b, 66"
3,Skógar ,N,V-Sv,H-1104,"Sigurðarson & Zoëga, 2013, 40; Sigurgeirsson 2013, 1-4."
3,Steindyr,N,V-Sv,H-1104,"Hreiðarsdóttir 2010, 20; Sigurgeirsson 2010b, 35-36"
3,Girðingar,N,V-Sv,H-1104/1158,"Vésteinsson 2011, 25; Sigurgeirsson 2011, 77-78"
3,Grasaskarð,N,V-Sv,H-1104/1158,"Vésteinsson 2011, 54-55"
3,Mýnesás,N,V-Sv,H-1104/1158,"Vésteinsson 2011, 30-31; Sigurgeirsson 2011, 77"
3,Sellandasel,N,V-Sv,H-1104/1158,"Vésteinsson 2011, 49-51"
3,Víðatóft ,N,V-Sv,H-1104/1158,"Vésteinsson 2011, 20-21; Sigurgeirsson 2011, 74-75"
3,við Kleifarhólma,N,V-Sv,H-1104/1158,"Vésteinsson 2011, 34-35; Sigurgeirsson 2011, 77"
3,Hallskot ,N,V-Sv,H-1158,"Vésteinsson 2011, 16-17; Sigurgeirsson 2011, 74"
3,Narfastaðir ,N,V-Sv,H-1158,"Sigurgeirsson 2005a, 41"
3,Nes,N,V-Sv,H-1158,"Sigurgeirsson 2005a, 40-41"
3,Oddastaðir ,N,V-Sv,H-1158,"Sigurgeirsson 2002b, 2; Vésteinsson 2004c, 63-66"
3,Steinbogi ,N,V-Sv,H-1158,"Sigurgeirsson 2003b, 40-42"
3,Þrælagerði,N,V-Sv,H-1158,"Ævarsson 2009, 16"
3,Þverá í Laxardal,N,V-Sv,H-1158,"Sigurgeirsson 2005a, 41"
3,Hóll á Hólsfjöllum,N,V-Sv,H-1158/V-1159,"Ævarsson 2009, 6"
3,Fossabrekkur,N,Vj,H-1104,"Zoëga et al. 2009, 12-13"
3,Glaumbær,N,Vj,H-1104,"Bolender, 2005, 11"
3,Gljúfurárgerði,N,Vj,H-1104,"Zoëga et al. 2009, 7-8"
3,Grófargil,N,Vj,H-1104,"Steinberg & Bolender 2004, 117"
3,Hólakot 1,N,Vj,H-1104,"Zoëga et al. 2009, 6"
3,Halldórsstaðir,N,Vj,H-1104,"Steinberg 2008, 3"
3,Hamar 1,N,Vj,H-1104,"Sigurðarson 2014, 23-25"
3,Hæringsbúðir,N,Vj,H-1104,"Zoëga et al. 2014, appendix 1-2 "
3,í Austurdal,N,Vj,H-1104,"Zoëga 2007, 18-20"
3,Ingimundarhóll,N,Vj?,H-1104,"Ólafsson 2013a, 6"
3,Keldudalur ,N,Vj,H-1104,"Zoëga 2006, 4"
3,Unastaðasel,N,Vj,H-1104,"Zoëga et al. 2014, appendix 1-2 "
4,Fagrahlíð,N,LTL,Vj,"Zoëga 2007, 24-26"
4,Marbæli,N,LTL,Vj,"Steinberg et al. 2007, 2"
4,Stóra Gröf ,N,LTL,Vj,"Steinberg et al. 2009e, 4-5"
4,Torfgarður,N,LTL,Vj,"Bolender et al. 2008, 10-11"
4,Tungukot,N,LTL,Vj,"Zoëga 2007, 5-7"
4,Bjarnastaðir í Unadal,N,/,Vj,"Zoëga et al. 2014, 18-21"
4,Kappastaðir,N,/,Vj,"Zoëga et al. 2016, 38, Appendix, 6"
4,Litli-Bakki,N,/,Vj,"Zoëga et al. 2016, 38, Appendix, 11"
4,Páfastaðir,N,/,Vj,"Steinberg et al. 2009d, 4; Sigurgeirsson 2010a, 2-3"
4,Reynistaður,N,/,Vj,"Steinberg & Bolender 2004, 117"
4,"Reynistaður, Langhúshóll",N,/,Vj,"Bolender et al. 2011, 82"
4,Syðra-Skörðugil,N,/,Vj,"Steinberg et al. 2005, 3-5"
4,Efra-Gjáholt ,N,LTL,H-1104,"Zoëga et al. 2009, 22"
4,Flatatunga,N,LTL,H-1104,"Zoëga et al. 2014, 33-34"
4,Garðhús ,N,LTL,H-1104,"Zoëga et al. 2009, 23-26"
4,Gjáskógar,SW,LTL,H-1104,"Eldjárn 1961, 16"
4,Grjótgerði í Víðinesi ,N,LTL,H-1104,"Zoëga et al. 2009, 40-42"
4,Hof,N,LTL,H-1104,"Carter & Traustadottir, 2012, 12"
4,Hvítárholt,SW,LTL,H-1104,"Magnússon 1972, 25, 57"
4,Öxnadalsheiði - Skógarnes,N,LTL,H-1104,"Vésteinsson 2013, 23-25"
4,Risamýri ,N,LTL,H-1104,"Zoëga & Pálsson 2008, 12-14"
4,Rógshólar,SW,LTL,H-1104,"Þórarinsson 1949, 58"
4,Skeljastaðir ,SW,LTL,H-1104,"Þórarinsson 1943, 38"
4,Skuggi,N,LTL,H-1104,"Harrison & Roberts, 2014, 15"
4,Sólheimar,N,LTL,H-1104,"Zoëga et al. 2016, 38, Appendix, 9"
4,Stórhólshlið,SW,LTL,H-1104,"Þórarinsson 1943, 37-38"
4,Svartárkot,N,LTL,H-1104,"Vésteinsson 2004e, 54-55; Vésteinsson et al. 2014, 49-50"
4,Vatnsleysa,N,LTL,H-1104,"Zoëga et al. 2016, 38, Appendix, 13"
4,Granastaðir,N,LTL or V-Sv,H-1104,"Einarsson 1995, 92, 101; Magnús Sigurgeirsson pers. com. "
4,Enni ,N,/,H-1104,"Zoëga et al. 2014, 35"
4,Fjall,N,/,H-1104,"Zoëga et al. 2016, 38, Appendix, 7"
4,Geirmundarhólar,N,/,H-1104,"Zoëga et al. 2016, 38, Appendix, 2"
4,Geitakofahóll ,N,/,H-1104,"Zoëga et al, 2009, 43-44"
4,Illugastaðir,N,/,H-1104,"Zoëga et al. 2016, 38, Appendix, 10"
4,Hlið,SW,/,H-1104,"Magnússon 1972, 6"
4,Hofgarðar,N,/,H-1104,"Þórarinsson 1977, 20"
4,Horngarðar,N,/,H-1104,"Þórarinsson 1977, 20; Vésteinsson et al. 2014, 49"
4,Hrappsá ,N,/,H-1104,"Zoëga et al. 2013a, 17-22"
4,Kaldárkot,N,/,H-1104,"Zoëga, 2011, 9-11"
4,Kolgrímsstaðir,N,/,H-1104,"Sveinbjarnardottir, 1992, 169"
4,Kot í landi Stafns,N,/,H-1104,"Zoëga et al. 2013a, 23-28; Zoëga et al. 2014, 5-8"
4,Lækur,N,/,H-1104,"Zoëga 2011, 12-16"
4,Málmey,N,/,H-1104,"Zoëga et al. 2013b, 35"
4,Markúsarhóll,N,/,H-1104,"Zoëga et al. 2009, 9-10"
4,Miðklif,N,/,H-1104,"Sveinbjarnardóttir 1992, 170"
4,Neðri-Ás,N,/,H-1104,"Vesteinsson 1998, 17-18"
4,Nýlendi,N,/,H-1104,"Zoëga et al. 2013a, 33-35"
4,Oddsstaðir,N,/,H-1104,"Harrisson 2010, 27"
4,Place in Helgustaðir,N,/,H-1104,"Zoëga et al. 2016, 38, Appendix, 1"
4,Róðhóll,N,/,H-1104,"Zoëga et al. 2016, 38, Appendix, 1"
4,Siglunes,N,/,H-1104,"Lárusdóttir et al. 2012; Sigurgeirsson 2012c, 37-38"
4,Sjöundastaðir,N,/,H-1104,"Zoëga et al. 2016, 38, "
4,Skálárkot,N,/,H-1104,"Zoëga et al. 2016, 38, Appendix, 8"
4,"""skáli""/Skálársel",N,/,H-1104,"Zoëga et al. 2016, 38"
4,Skógargerði,N,/,H-1104,"Zoëga et al. 2016, 38, Appendix, 4"
4,Spáná,N,/,H-1104,"Zoëga et al. 2013a, 12-14"
4,Stórhóll,N,/,H-1104,"Zoëga & Gunnarsson 2013, 10-12"
4,Straðatunga,N,/,H-1104,"Harrison & Roberts, 2014, 17"
4,Tjarnarkot,N,/,H-1104,"Zoëga et al. 2016, 38, Appendix, 5"
4,Víðines,N,/,H-1104,"Zoëga 2011, 20"
4,við Grindilskrók,N,/,H-1104,"Zoëga et al. 2016, 38"
4,Þórarinsstaðir,SW,/,H-1104,"Þórarinson 1949, 49, 53-54"
4,Þrastarstaðir,N,/,H-1104,"Zoëga et al. 2014, 31"
4,Þrælsgerði ,N,/,H-1104,"Zoëga et al. 2014, 29-30"
4,Þverá í Hrolleifsdal,N,/,H-1104,"Zoëga et al. 2016, 38, Appendix, 2"
4,Ytri-Heljará,N,/,H-1104,"Zoëga et al. 2009, 36-38"
4,Selhagi,N,LTL,H-1104/1158,"McGovern & Perdikaris 2016, 2"
4,Gautlönd,N,/,H-1104/1158,"Vésteinsson 2013, 7-8"
4,við Víðiker,N,/,H-1104/1158,"Vésteinsson 2004d, 80-83"
4,Bakkkastaðir,E,LTL,H-1158,"Rafnsson 1990, 38-39"
4,Hamrar,N,LTL,H-1158,"Aldred et al. 2007, 8"
4,"Hamrar, Helgastaðir & Pálmholt 2",N,LTL,H-1158,"Aldred et al. 2007, 8"
4,innan við Faxagil,E,LTL,H-1158,"Rafnsson 1990, 64-65"
4,Rauðaskriða 1 ,N,LTL,H-1158,"Aldred et al. 2007, 8"
4,Þegjandadalur 2,N,LTL,H-1158,"Aldred et al. 2007, 8"
4,Aðalból,E,/,H-1158,"Rafnsson 1990, 54-55"
4,á Vesturdal,E,/,H-1158,"Rafnsson 1990, 85"
4,Blesatangi,E,/,H-1158,"Rafnsson 1990, 61"
4,Breiðavík,N,/,H-1158,"Sigurgeirsson 2001a, 33-35"
4,Dyngja,E,/,H-1158,"Rafnsson 1990, 91"
4,Geithús,E,/,H-1158,"Rafnsson 1990, 83"
4,Glúmsstaðasel,E,/,H-1158,"Rafnsson 1990, 68"
4,Hringur,E,/,H-1158,"Rafnsson 1990, 84"
4,Hústóft ,E,/,H-1158,"Rafnsson 1990, 51"
4,í Mógilshálsi,E,/,H-1158,"Rafnsson 1990, 42"
4,innan við Faxahús,E,/,H-1158,"Rafnsson 1990, 61"
4,Laugarhús,E,/,H-1158,"Rafnsson 1990, 57"
4,Orrustustaðir,E,/,H-1158,"Rafnsson 1990, 77"
4,Skál,E,/,H-1158,"Rafnsson 1990, 42"
4,Steingrímsstaðir,E,/,H-1158,"Rafnsson 1990, 80"
4,Steinsgróf ,E,/,H-1158,"Rafnsson 1990, 76"
4,Tobbhóll,E,/,H-1158,"Rafnsson 1990, 53"
4,undir Smjörtungufellli,E,/,H-1158,"Rafnsson 1990, 55"
4,Vaðbrekka,E,/,H-1158,"Rafnsson 1990, 45"
4,Þórisstaðir,E,/,H-1158,"Rafnsson 1990, 50"
4,Þrándarstaðir,E,/,H-1158,"Rafnsson 1990, 49"
4,Þuríðarstaðasel,E,/,H-1158,"Rafnsson 1990, 66"
5,Borg,SW,LTL,/,Davide Zori pers. com.
5,Broddaskáli,E,LTL,/,"Sveinbjarnardóttir 1992, 64-67"
5,Eiríksstaðir,NW,LTL,/,"Ólafsson 1998, 17"
5,Gilsbakki,NW,LTL,/,"Smith 2008, 25"
5,Göltur,SW,LTL,/,"Ólafsson 2014, 5"
5,Hallmundarhellir,NW,LTL,/,"Jóhannesson 1989, 6"
5,Helgadalur,SW,LTL,/,"Zori & Byock, 2014, 68"
5,Herjólfsdalur,SW,LTL,/,"Hermanns-Auðardóttir 1989, 49"
5,Hjálmsstaðir,SW,LTL,/,"Ólafsson 1992, 49"
5,Hólmur ,E,LTL,/,"Einarsson 2008a, 170"
5,Kálfaströnd,N,LTL,/,"Einarsson 2012b, 6"
5,Klausturhús,N,LTL,/,"Harrison 2013, 398"
5,Kópsvatn,SW,LTL,/,"Ólafsson 1999, 5, 8"
5,Reykholt ,SW,LTL,/,Sveinbjarnardóttir 2012
5,Spöngin ,SW,LTL,/,"Sigurgeirsson 2005b, 20-21"
5,Surtshellir ,NW,LTL,/,"Ólafsson et al. 2004, 20"
5,Víðgelmir,NW,LTL,/,"Ólafsson 2011, 10"
5,Þjótandi,SW,LTL,/,"Einarsson & Einarsdóttir 2008, 1-3; Einarsson & Csillag, 2011, 311-312"
5,Þorleifshaugur ,SW,LTL,/,"Friðriksson et al. 2005, 13-14"
5,Bessastaðir ,SW,LTL,R-1226,"Ólafsson 2013b, 8-9"
5,Bygggarðsvör,SW,LTL,R-1226,"Hermanns-Auðardóttir 2005, 50-52"
5,Heynes,SW,LTL,R-1226,"Friðriksson 1991, 9-10, 20"
5,Hofsstaðir í Garðabær,SW,LTL,R-1226,Traustadóttir 1995; Sigurgeirsson 1999 unpublished report
5,Leirvogstunga,SW,LTL,R-1226,"Zori & Byock, 2014, 67"
5,Urriðakot,SW,LTL,R-1226,"Traustadóttir et al. 2010, 9, 134"
5,Þingnes by Elliðavatn ,SW,LTL,R-1226,"Ólafsson 2004, 69-70"
5,Vogur í Höfnum,SW,LTL,R-1226,"Einarsson 2013a, 25"
5,Þverá,N,LTL,K-1262,"Edvardsson & Hreiðarsdóttir 2003, 15-19"
5,"Hamrar, Helgastaðir & Pálmholt 1",N,LTL,H-1300,"Aldred et al. 2007, 8"
5,Rauðaskriða 2,N,LTL,H-1300,"Aldred et al. 2007, 8"
5,Þegjandadalur 1,N,LTL,H-1300,"Aldred et al. 2007, 8"
5,Þegjandadalur 3,N,LTL,H-1300,"Aldred et al. 2007, 8"
5,Ytra-Skörðugil,N,LTL,H-1300,"Steinberg et al. 2005, 6-8"
5,Háls ,SW,LTL,H-1341,Kevin Smith pers. com. 
5,Syðsta Mörk (REU 18) ,SW,LTL,H-1341,"Church et al. 2007, 663"
5,Geirsstaðir,E,LTL?,Ö-1362,"Kristjánsdóttir 1998, 32"
5,Mjóeyri,E,LTL,Ö-1362,"Einarsson et al. 2008, 38-40"
5,Þegjandadalur 4,N,LTL,V~1477,"Aldred et al. 2007, 8"
5,Akraland,SW,LTL,K~1500,"Rhodes & Trautadóttir 2004, 12-13"
5,Nes,SW,LTL,K~1500,"Gestsdóttir & Vésteinsson 1996, 20-23"
5,Skeggjastaðir ,SW,LTL,K~1500,"Zori & Byock 2014, 71"
5,Snjáleifartóttir,SW,LTL,H-1693,"Þórarinsson 1943, 36"
5,Þrælagarður,SW,LTL,H-1693,"Róbertsdóttir & Jóhannesson 1986, 221-226"
6,undir Sandmúla,N,V-Sv,/,"Vésteinsson et al. 2014, 51-52"
6,Einarsstaðir,N,V-Sv,K-1262,"Sigurgeirsson 2009b, 53-55"
6,Eystri Brú ,N,V-Sv,H-1300,"Vésteinsson 2012, 43"
6,Hjálmarvík ,N,V-Sv,H-1300,"Sigurgeirsson 2014, 62-63"
6,Hólakot 2,N,V-Sv,H-1300,"Sigurgeirsson 2010c, 14"
6,Höfðagerði,N,V-Sv,H-1300,"Aldred & Friðriksson 2003, 12-13"
6,Ingveldarstaðir,N,V-Sv,H-1300,"Hreiðarsdóttir & Ólafsson 2012, 30-32; Sigurgeirsson 2012a, 43"
6,Kúðá,N,V-Sv,H-1300,"Sigurgeirsson 2014, 63"
6,Litlu-Gautlönd,N,V-Sv,H-1300,"Sigurgeirsson 2008a, 47"
6,Mánárbakki ,N,V-Sv,H-1300,"Sigurgeirssson 2003c, 12-13"
6,Maríugerði,N,V-Sv,H-1300,"Pálsdóttir 2010, 10, 20 "
6,Narfastaðasel,N,V-Sv,H-1300,"Sigurgeirsson 2009a, 56-57"
6,Öndólfsstaðir ,N,V-Sv,H-1300,"Sigurgeirsson 2012b, 68"
6,Sakka ,N,V-Sv,H-1300,"Hreiðarsdóttir 2010, 19; "
,,,,,"Sigurgeirsson 2010b, 36"
6,Saltvík,N,V-Sv,H-1300,"Vésteinsson 2004a, 28"
6,Selholt,N,V-Sv,H-1300,"Sigurgeirsson 2008a, 47"
6,Svalbarð,N,V-Sv,H-1300,"Sigurgeirsson 2014, 64-65"
6,Svínadalur ,N,V-Sv,H-1300,"Vésteinsson 2012, 52-55"
6,Sýrnes,N,V-Sv,H-1300,"Sigurgeirsson 2005a, 41"
6,Tinnársel,N,V-Sv,H-1300,"Sveinbjarnardóttir 1992, 139"
6,Sómastaðagerði,E,V-Sv,Ö-1362,"Sigurgeirsson 2003a, 26"
6,Fremri Fjöll ,N,V-Sv,V~1410,"Hreiðarsdóttir & Ólafsson 2012, 20; Sigurgeirsson 2012a, 41"
6,Arnarvatnssel,N,V-Sv,V~1477,"Vésteinsson 2011, 42-44; Sigurgeirsson 2011, 75"
6,Eyvík,N,V-Sv,V~1477,"Hansson 2007, 7"
6,Geldingatættur,N,V-Sv,V~1477,"Sigurgeirsson 2008a, 47-48"
6,Grænavatn,N,V-Sv,V-1477,"Vésteinsson 2008, 34"
6,Hálskot  ,N,V-Sv,V~1477,"Hreiðarsdóttir 2010, 25; Sigurgeirsson 2010b, 36"
6,Hraungerði ,N,V-Sv,V~1477,"Sigurgeirsson 2012a, 42"
6,Hraunstakkaborg,N,V-Sv,V~1477,"Sigurgeirsson 2012a, 42"
6,Kirkjulaut,N,V-Sv,V~1477,"Sigurgeirsson 2012b, 67-68"
6,Langgarður í landi Garðs,N,V-Sv,V~1477,"Sigurgeirsson 2012a, 42"
6,milli Ingveldarstaða og Tóveggs,N,V-Sv,V~1477,"Sigurgeirsson 2012, 42"
6,Tungufell 1,N,V-Sv,V~1477,"Hreiðarsdóttir 2010, 14; Sigurgeirsson 2010b, 35"
6,Tungufell 2,N,V-Sv,V~1477,"Hreiðarsdóttir 2010, 16-17; Sigurgeirsson 2010b, 35"
6,Fjárhóll,E,Eldgjá,H-1206,"Einarsson 2012a, 7"
6,Hróðnýjarstaðir ,E,Eldgjá,H-1206,"Hreiðarsdóttir et al. 2014, 11"
6,Leiðólfsfell,E,Eldgjá,H-1206,"Einarsson 2010b, 5-6"
6,Litli-Svartinúpur ,E,Eldgjá,H-1206,"Hreiðarsdóttir et al. 2014, 32-34"
6,milli Merkurár og Sláttugils,E,Eldgjá,H-1206,"Einarsson 2013b, 6-7"
6,Streyta,E,Eldgjá,H-1206,"Einarson 2014, 6"
6,við Fjaðrárgljúfur,E,Eldgjá,H-1206,"Einarsson 2010a, 7"
6,Langanes I (REU 23) ,SW,Eldgjá,H-1341,"Church et al. 2007, 663"
6,Langanes II (CP 1) ,SW,Eldgjá,H-1341,"Church et al. 2007, 663"
6,Langanes III (CP 4) ,SW,Eldgjá,H-1341,"Church et al. 2007, 663"
6,Langanes IV (AS1) ,SW,Eldgjá,H-1341,"Church et al. 2007, 663"
6,Langanes V (AS2) ,SW,Eldgjá,H-1341,"Church et al. 2007, 663"
6,Markarfljót Valley (REU17),SW,Eldgjá,H-1341,"Church et al. 2007, 663"
6,Ljótarstaðir,N,Eldgjá,V~1477,"Hreiðarsdóttir et al. 2014, 17-18"
,,,,,